Author,Year,country,region,pmid,source_database,enrol_begin,enrol_end,FU_begin,FU_end,BC_stages,definitely_no_prevalent_cases,sample,percent_event,n_events,median_FU,PY_FU,ir_1000,ir_cilb,ir_ciub,how_calculated,comments,sample_size,mean_age,age_sd,age_percent_categories,age_comments,males,males_comments,postmenopause,postmenopause_comments,race_white,race_hispanic,race_black,race_asian,race_comments,history_ihd,history_ihd_comments,history_cardio,history_cardio_comments,history_diabetes,history_diabetes_comments,hypertension,hypertension_comments,smoking,smoking_comments,alcohol,alcohol_comments,dyslipidemia,dyslipidemia_comments,atrial_fibrillation,atrial_fibrillation_comments,prior_mi,prior_mi_comments,history_hf,history_hf_comments,history_stroke,history_stroke_comments,pad,pad_comments,vhd,vhd_comments,ckd,ckd_comments,Charlson_Comorbidity_Index,Charlson_Comorbidity_Index_comments,hormone_replacement,hormone_replacement_comments,bmi,bmi_sd,overweight,bmi_comments,stage_0,stage_1,stage_2,stage_3,stage_4,Local_Regional_distant,stage_comments,grade_1,grade_2,grade_3,grade_comments,estrogen_positive,progesteron_positive,her2_positive,triple_negative,hormone_positive,type_comments,node_negative,node_positive,node_comments,side_left,side_right,side_both,side_comments,size_less_2,size_2_5,size_more_5,size_comments,surgery_total,surgery_mastectomia,surgery_breast_conserving,surgery_ovary,surgery_lymph_node,surgery_comments,treatment_adjuvant,treatment_neoadjuvant,treatment_any_hormone,treatment_tamoxifen,treatment_other_aromatase_inhibitor,treatment_chemotherapy,treatment_antracycline,treatment_anti_her,treatment_trastuzumab,treatment_comment,radiation_percent,radiation_dose,radiation_moderate,radiation_technique,radiation_comments
Franchi,2020,Italy,"Lombardy, Lazio, Marche, Abruzzo, Sardinia and Sicily",32770690,Italian National Health Service ,2007,2016,0,8,,1,18624,,308,5.88,109509.12,2.812551137,2.515346543,3.144872392,formula,different database,18624,55,,,,0,,,,,,,,,,,,,6.9,,29.9,,,,,,,,,,,,0,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,57,43,,,,,,,,,,100,33.4,66.6,,,,,,,,,100,,33.3,33.3,,,,,,
Boekel,2015,The Netherlands ,nationwide,27026313,Netherlands Cancer Registry,1989,2005,5,21,,0,59388,,990,9,534492.00,1.852226039,1.740365748,1.97127604,formula,invasive BC patients,59388,,,,,0,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40.2,50.5,7.5,0,,,,,,,,,,,,,,,,51.6,48.3,,,,,,,100,49.5,46.7,,,,,,29.2,,,25.4,,,,,66.4,,,,
Choi,2018,Korea,nationwide,29737474,Korean Health Insurance Review and Assessment Service ,2007,2016,0,10,,1,83544,,3154,3.62,302429.28,10.4288844,10.07119449,10.79927807,formula,Korean cohort with the largest PY FU,83544,49,9.5,,,0,,,N/A,,,,100,,8.7,,,N/A,18.8,,24.6,,,n/a,,n/a,39,,,n/a,,n/a,0,,,n/a,10.1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,97.2,97.2,2.7,2.7,,72.6,,,,
Qin,2014,USA,"Cleveland, single center",25342090,University Hospitals Case Medical Center ,1998,2006,0,14.4,,0,1169,,120,7.6,8884.40,13.50682094,11.29400564,16.15318938,formula,Cleveland unique database,1169,52.6,11.12,,,0,,,,,,,,,4.4,,,,9.3,,38.3,,34,,,,22.9,,,,,,,,,,,,,,,,,,,,,,,,0,18.1,,,2.8,,,,,,,65.6,57.7,21.4,,,,,,,,,,,,,,,,,,,,,100,,,,,100,100,10.6,10,,,,,,
Chien,2016,Taiwan,nationwide,27310478,Taiwanese National Health Insurance Research Database,2006,2009,0,7,,1,23006,,675,5.29,121701.74,5.546346338,5.14332089,5.980952455,formula,Taiwan registry with the largest PY FU,23006,50.99,,,,0,,,,0,0,0,100,,3.25,,,,8.18,,17.67,,,,,,2.34,,,,,,0,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.55,61.82,31.73,,,,77.62,9.95,51.44,,,100,76.77,4.63,4.63,,33.54,,,,
Haque,2016,USA,Southern California,27100398,SEER-Kaiser Permanente Southern California,1991,2010,0,21,,1,13273,,630,4.5,72886.00,8.643635266,7.994349452,9.345654836,reported,unique Southern California cohort,13273,66.8,8.1,,,0,,100,,71,10.1,8.7,9.2,,0,,0,,24.3,,70.3,,,,,,,,0,,0,,0,,0,,,,0,,,,,,,,,,39.4,,8.5,50.5,32.3,6.1,2.6,,,26.6,46,19.3,,99.7,63.7,3.7,,100,,60.1,25.1,,50.6,49.3,0.1,,,,,,95.6,40,55.6,,,,,,,,,27.1,,,,,60.1,,,,
Fogarassy,2019,Hungary,nationwide,30905520,National Health Insurance Fund of Hungary,2004,2016,0,13,,1,8068,6.9,557,5.89,47520.52,11.72125221,10.78715157,12.73624018,formula,different database,8068,,,,,0.8,,,,,,,,,0,,0,,14.4,,63.5,,,,,,16.6,,,,3.2,,0,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,47.1,3.6,,,,,,,,,,,,,,,,,,100,20.6,18.7,,81.8,,,,
von Minckwitz,2017,multinational,multinational,28581356,APHINITY trial,2011,2013,0,4,,1,4805,,21,3.783,18177.32,1.155286135,0.7532493113,1.771904779,formula,different database,4805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,64,,37.4,62.6,,,,,,40.1,53.2,6.7,,100,,,,,,,,64,,,100,77.9,100,100,,,,,,
Seicean ,2013,USA,Cleveland ,23425978,Cleveland Clinic Health System ,2005,2010,0,7,,1,318,,32,3.2,1017.60,31.44654088,22.23809182,44.46806593,formula,Cleveland unique database,318,56.6,10.3,,,0,,,,59.8,,,,,,,,,12,,38.7,,68.8,,,,,,,,0,,0,,2.3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,100,81.8,,37.1,,58.5,,,,
Vulsteke,2015,Belgium,"Leuven, single-center",26017071,Leuven Multidisciplinary Breast Cancer Center,2000,2010,0,10,,0,877,,16,3.62,3174.74,5.039782785,3.087503955,8.226519186,formula,different database,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,4.2,,,9.2,58.8,32.1,,,,,4.8,36.5,53.8,,69.4,60.4,5.2,,,,,,,50.8,,,,,,,,,,,,,,88.7,11.3,,,,100,100,,0,,,,,,
Rabaglio,2020,multinational,multinational,33159633,BIG 1‑98 ,1999,2003,0,5,,0,6144,,32,3.817,23451.65,1.36450965,0.9649420902,1.929531941,formula,different database. BIG 1-98 with the largest PY-FU,6144,70,,,,0,,100,,,,,,,1.9,,6,,,,32.3,,36.5,,,,13.3,,,,,,0.2,,1.3,,,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,100,,,,,,,,,75,,,,,,,,,,,
Lidbrink,2018,multinational,multinational,30506110,OHERA study,2007,2010,0,5.2,,0,3733,,106,5,18665.00,5.679078489,4.69461897,6.869978734,formula,different database,3733,55,,,21-86,1,,,,,,,,,,,,,4.7,,28.3,,,,,,7.5,,,,,,1.3,,,,,,,,,,,,,,,,52,,0,33.7,49.2,17.1,,,,,,,,62.6,,,,,,55.4,44.6,,,,,,,,,,,,,,,,100,,1.5,,,,90.2,100,100,,35.8,,,,
Abdel-Qadir,2019,Canada,Ontario,30715404,Ontario Cancer Registry,2005,2015,0,12,,0,78318,2.73,2138,5.7,446412.60,4.789291342,4.590521104,4.99666836,formula,largest PY-FU among Ontario Cancer Registry studies,78318,61,,,51–72,0,,,,,,,,,8,,,,16.6,,47,,,,,,,,2,,,,4.4,,2.7,,1.9,,,,3,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,46.3,,32.9,11.9,,,65.3,,,,
Bonneterre,2004,France,20 institutions,15284257,French Adjuvant Study Group–05 trial,1990,1993,0,10.2,,1,150,,2,8.5,1275.00,1.568627451,0.3923000536,6.272219587,formula,different database,150,59,,,But median age is different in table 3 (I think because assessment of characteristics in table 3 were performed at different time form table 1).,0,,52.67,,,,,,,,,,,4,,22,high blood pressure,,,,,5.3,,,,,,0,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,"pts either three positive nodes or between one and three positive nodes with histoprognostic grade  2 and hormone receptor negativity but in tables the variable ""HR negative"" was reported like not if all the sample was not negative?",0,100,,56.7,43.3,,,46.7,,,>20 mm = 53.33,,50,,,,,,,,43.33,,,,,,,97.33,,,,
Jacob,2013,France,single center,23499212,Institut  Curie,2003,2009,0,6,,0,173,,1,4.33,749.09,1.334953076,0.1880393823,9.477268506,formula,different database,173,52,,,,,NA,,NA,,,,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,0,38.7,41.6,11.6,7,,,,,,,,,,,,,,,,50.9,49.1,0,,,,,,98.3,37,61.3,,,,,,49.7,,,100,90.8,100,100,,100,,,,
Cadoo,2016,USA,"New-York, single center",27622751,Memorial Sloan Kettering Cancer Center,1999,2010,0,10,,0,244,,5,,1556.00,3.213367609,1.337471431,7.72033791,formula,different database,244,,,,. The median age of the trastuzumab and notrastuzumab cohorts was 62 years of age (55‒87 years) and 64 years of age (55‒87 years),0,,,,,,,,,,,,,11.5,,46.7,,46.3,Ever smoker,,,36.5,Hyperlipidemia,3.7,,2,,2,,2.5,Prior Cerebrovascular Event reported,,,,,,,,,,,,,,"median (range)
No Trastuzumab (n = 116) = 25.5 (16.9‒42.7), Trastuzumab (n = 128) = 27.3 (18.2‒57.5)",0,100,0,0,0,,,1.6,15.2,77.5,,62.3,,100,,,,100,0,Lymphovascular invasion present 16.0,,,0,,100,0,0,"median (range) cm
No Trastuzumab (n = 116) = 1.1 (0.1‒2.0), Trastuzumab (n = 128) = 1.2 (0.25-2.0)",100,35.2,64.8,,,,76.6,,59.8,26.2,,76.6,22.5,,,"I considered taxane =tamoxifen, 
Anthracycline and taxane: 18.0",63.9,,,,
Truong ,2016,USA,Dana-Farber Cancer Institute,27107002,Dana-Farber Cancer Institute,2006,2011,0,8.3,,1,600,,2,4,2400.00,0.8333333333,0.2084094035,3.332116655,formula,Dana-Farber Cancer Institute with the largest follow-up,600,48.5,,,,0,NA,41.1,,90,2.1,1.9,2.9,,,,,NA,3.1,,14,,54.5,,63,,9,,,NA,0,,0,,,NA,,NA,,NA,,,,,,NA,25.5,,,NA,,,,,0,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,NA,,,,,,100,,,,,,,,,NA
Ng,2019,Canada,British Columbia,31280456,Breast Cancer Registry,2005,2009,0,8,,1,11551,,919,5,63513.00,14.46947869,13.56356399,15.43589972,reported,different database,12127,,,,,0,,,,,,,,,0,,39,,,,,,,,,,16.2,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wang,2017,China,single center,29108307, Shandong Provincial Qianfoshan Hospital,2007,2016,0,5,,0,133,,1,0.917,121.96,8.199342413,1.154946425,58.20981351,formula,different databases,133,65,,,,0,NA,100,,,,,100,,,NA,3.8,,,NA,27,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,NA,,,,,27.8,,0,,,45.9,24.8,,1-2 - 29.3%,,,,NA,,,100,,,NA,,,na,,,,NA,,,,NA,45.9,,,,,NA,,,14.3,,,,54.4,100,100,NA,14.3,,,,NA
Kim,2021,Korea,4 medical centers,34369199, Clinical Data Warehouse of Hallym Medical Center,2005,2015,0,6,,0,1256,,10,4.058,5096.85,1.961996905,1.055649653,3.646505111,formula,different database,1256,51.4,10.7,,,0,,,,,,,100,,,,,,8.7,,16.5,,,,,,27.9,,,,0.6,Prior myocardial infarction or peripheral artery occlusive disease,0.4,,,,,,,,2.6,eGFR<60 mL/min per 1.73 m²,,,,,24.4,3.5,,,1,43.1,38.5,16.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,99.9,18.1,81.3,,,others 0.5,,,70.4,,,79.5,70.7,11.9,11.9,,100,58.2 +- 6.1,,,
Khosrow-Khavar,2020,UK,nationwide,32065766,UK Clinical Practice Research Datalink,1998,2016,0,18,,0,17922,,116,,34028.00,3.408957329,2.841764166,4.089357664,formula,the largest UK database,17922,67.7,11.1,,,0,,,,94.8,,,,,,,,,9.9,Antidiabetic drugs,,,46,"current, former",5.2,Alcohol-related disorders,,,,,2.4,,2.6,,4.3,,2.2454,,,,6.3,,,,12,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,80.4,,,,,,100,54.6,45.4,13.8,,,,,4.5,,,,
Banke,2019,Denmark,nationwide,30819377,Danish National Patient Registry,2007,2012,0,8,,1,8812,,111,5.4,47584.80,2.332677662,1.936692946,2.809627145,formula,different database,8611,51.8,8.5,,,0,,50.2,,,,,,,2.6,,,,2.2,,7.7,,,,,,,,0.6,,0.4,,,,,,,,,,,,,,,,,,,,,,,,0,,,15.2,42.5,32.5,,72.3,,23.9,,,,,53.5,,,,0,,55.5,36.5,2.8,,100,,62.7,,,,,5.2,,,,100,,23.9,23.9,,81.6,,,,
Haque,2014,USA,"Washington,  Southern California,  New Mexico, Michigan, Minnesota, Minnesota",24512167,BOWI cohort -  Cancer Research Network ,1990,1994,5,15,,0,1361,,100,5,7407.00,13.50074254,11.09777555,16.42401654,formula,unique database,1361,,,,,0,,100,,81.93,5.29,10.07,2.72,,,,,,15.14,,63.63,,30.35,,,,,,,,,,,,,,,,,,,,,,,,,,21.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boekel,2014,The Netherlands,nationwide,25128694,Netherlands Cancer Registry ,1989,2004,5,21,,0,10444,,120,10,104440.00,1.148985063,0.9607474505,1.374103751,formula,DCIS only,10444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,,,9.3,16.4,26.7,,,,,,,,,,,53.7,46.2,,,,,,,99.3,43.6,43.6,,,,,,,,,,,,,,,,,,
Banke,2018,Denmark,,29493047,Danish Breast Cancer Cooperative Group (DBCG) 89D trial,1990,1998,0,24,,1,961,,32,16.9,16240.90,1.970334156,1.393363806,2.786218983,formula,different database,962,47.6,9,,,0,,28.4,,100,,,,,0.7,,,,,,0.6,,,,,,,,0,,0.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,7.1,48.6,37,,22.5,,,,,,36.7,63.3,,48.6,51.4,0,,43.9,47.9,8.2,,100,80.6,19.4,,,,100,,,,,100,46.4,0,0,,38.8,,,,
Rugo,2013,USA,,24062208,registHER,2003,2006,0,6,,0,865,,17,2.25,1946.25,8.734746307,5.429999679,14.05079145,formula,nationwide US cohort,919,53,,,"median 1st group: 50, median 2nd group: 54",1.09,,,,,,,,,2.4,angina + myocardial infarction,17.7,,7.4,,5.1,,,,,,,,,,2,,1.5,,,,1.4,,,,,,,,,,,,,,,,,,100,,,,,,,,,100,,53,ER-negative and PR-negative 43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,"results in table 2 are only for patients diagnosed in stages 0–III only or with missing clinical cancer
stage while the total sample also includes stage IV patients",,,,,
Pivot,2015,France,,26163096,PHARE trial,2006,2010,0,6,,1,3380,,20,4.542,15351.96,1.30276525,0.8404816125,2.0193152,formula,different database,3380,55,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2,42,100,,,,55,45,,51.3,47.9,0.8,,53.6,39.2,7.2,,100,,,,,,,,,,,100,89,100,100,,,,,,
Cespedes Feliciano,2019,USA,Northern California,31369302,Kaiser Permanente Northern California,2005,2013,0,10,,1,2943,,153,6,17658.00,8.664627931,7.394913319,10.15235391,formula,sensitivity analyses with other Northen California cohorts,2943,55.5,11.6,,,0,,,N/A,63.2,11.6,7.4,17,,0,,0,,25,,39.7,,37.6,,,/,35.8,,,,0,,0,,0,,,N/A,0,,,N/A,,N/A,,N/A,28.2,6.4,,,0,21,45.4,33.5,0,,,,,,N/A,75.6,54.4,21.2,,,,,,N/A,,,,N/A,,,,N/A,,,,,,N/A,75.4,,,,,75.4,48.4,18.3,18.3,,25.2,,,,
de Azambuja,2020,multinational,multinational,31605311,"HERA, NSBAP B-31, and NCCTG 9831 trials",2000,2005,0,12,,1,4017,,94,11,44187.00,2.127322516,1.737948839,2.603932281,formula,HERA and other trial with largest PY-FU,4017,,,"<35 y (7%), 35-39 y(10%), 40-49 y (34%), 50-54 y (41%), >65 y(8%)",mean age N/A,0,,,N/A,83.6,,,,,,N/A,,N/A,2,,18.3,,9.1,,,N/A,,N/A,,N/A,,N/A,0,,,N/A,,N/A,,N/A,,N/A,,N/A,0,,,,,25% of patients were > 25 BMI in trastuzumab arm (2338/3750),,,,,,,N/A,1.7,23.1,46.6,,,,100,,,,16.3,78.7,,,,,,32.3,52.7,9.6,,100,,,,,,99.8,,,,,99.8,97.1,54,54,all anti-HER2 therapy agents were trastuzumab,,,,,only trastuzumab arm stated (33%)
Eiger,2020,multinational,multinational,32203207,ALTTO trial ,2007,2011,0,7,,1,4190,,94,6.9,28911.00,3.251357615,2.656246597,3.979798544,formula,different database,4190,,,"< 65 yo 90%, ≥65 yo 10%",,0,,57,,69,,1.5,26,NA,0,,,NA,5.5,,21.5,,,NA,,NA,8.5,,0,,0,,0,,,NA,,NA,,NA,,NA,,NA,,NA,,,20.5,,,,,0,,,,2,35.9,57.5,,,,100,,57,,40,52,,51.5,48.5,,,33.5,50,7,,100,56,44,,,,100,,,,,100,95,100,100,,71,,,,
Guarneri,2006,USA,"single center, Texas",16908934, Anderson Cancer Center,1998,2003,0,6.8,,0,173,,5,2.72,470.56,10.62563754,4.422614643,25.52882903,formula,unique database,173,50,,,,0,,,,,,,,,5.2,,,,5.2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,0,0,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,,,85,100,100,,56.4,,,,
Haffadi ,2021,Morocco,"Casablanca, single center",33716214,Hassan II University,2017,2018,0,1.7,,1,549,,22,1,549.00,40.07285974,26.38579736,60.85979006,formula,different database,549,50,,,19-85,0.5,,65,,,,,,,,,,,9.5,,16,,0.17,,,,0.9,,,,,,,,,,,,,,,,,,,,27.5,,35.5,,0,2,51,47,0,,,,,,,,,,,,,,,,55,42,3,,,,,,,,,,,,88.5,11.5,67,,,,95,66,64,,68,,,,
Batist,2001,multinational,multinational,11230490,Myocet Study ,1994,1998,0,5,,1,297,,5,1.67,495.99,10.0808484,4.195861905,24.21993546,formula,different database,297,54,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,0,0,0,0,100,,,,,,,38.5,32,,,,,,,,,,,,,,,,,,,,,,100,,49.1,,,100,100,,,,36.1,,,,
Dang,2015,USA,14 centers,26539793,phase 2 study,2007,2010,0,,,0,406,,2,4,1624.00,1.231527094,0.3079941923,4.924310328,formula,nationwide US cohort,406,55,,,24-85,0.2,,,,86,2,7,3,,,,,,7,,29,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,100,,,,,,,,,,,,,0,,,,,,,,,,,,,100,0,100,100,,,,,,
Morris,2013,USA,,24037735,Memorial Sloan-Kettering Cancer Center,2005,2008,0,6,,0,165,,4,2,330.00,12.12121212,4.549225441,32.2964393,formula,different database,165,46,,,27-73,0,,,,,,,,,0,,,,,,17,,38,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,0,19,44,37,0,,,,,,,53,48,100,,,,,,,,,,,,,,,,,,,,,100,,,,,100,100,100,100,,,,,,
Swain,2018,multinational,multinational,29253081,BERENICE study,2014,2015,0,2,,,397,,3,,484.33,6.194123841,1.997696062,19.20570946,formula,different database,397,49,,,42-59,0.2,,,,,,,,,0,,0,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,0.2,7.5,67,19.5,5.5,,,1.5,30.8,53.6,,,,100,,63,,,,,,,,,,,,,100,,,,,,,100,,,,100,100,100,100,,,,,,
Schneider,2015,multinational,multinational,26625004,E2198 trial,1999,2000,0,,,1,234,,7,6.4,1497.60,4.674145299,2.228293298,9.804649279,formula,different database,227,49,,,,0,,,,89.5,2.5,5.7,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,52.5,55.4,100,,63,,0,100,,,,,,,,,,100,11,89,,,,,,,62,,100,100,100,100,,,,,,
Martin,2013,Spain, 67 Spanish institutions,23733779," GEICAM/2003-02 Study",2003,2008,0,10,,1,1925,,4,5.28,10164.00,0.3935458481,0.1477021247,1.048585691,formula,different database,1925,50,,,,0,,50.4,,,,,,,0,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,0,,,,0,,,6.5,45.7,44.1,,,,9.4,23,73,,100,0,,,,0,,58.5,40.1,1.4,,100,27.3,72.7,,,,100,,,52.5,20.2,100,100,0,0,,,,,,
Mackey ,2013,multinational,multinational,23246022,BCIRG 001 trial,1997,1999,0,10,,0,1491,,43,10.3,15357.30,2.799971349,2.076558564,3.775400171,formula,BCIRG 001 trial with the largest  PY FU,1491,49,,,,0,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,76,,0,100,,,,0,,41.5,52,6.5,,100,59,41,,,,100,,,68.5,,100,100,,,,70.5,,,,
Untch ,2011,Germany,51 centers,21788566,TECHNO Trial,2002,2005,0,5,,0,217,,1,3.42,742.14,1.347454658,0.1898003354,9.566021324,formula,different database,217,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.8,66.2,12.8,16.2,,,1.1,45.6,53.3,,,,100,,52.1,,35.5,64.5,,,,,,,,,,100,35,65,,,,,100,,,,100,100,100,100,,,,,,
Extra ,2010,France,multicenter,20671105,Hermine Study,2002,2002,0,3,,0,623,,16,2.03,1264.69,12.65132167,7.750533575,20.65095756,formula,different database,623,54,,,25-84,,,,,,,,,,2,,23,,,,17,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,0,0,0,0,100,,,5,37,56,,49,39,100,,,,,,,,,,,,,,,88,,,,,,,,58,,,90,,100,100,,82,,,,
Wang ,2021,China, Affiliated Hospital of Nanhua University ,34456577, Affiliated Hospital of Nanhua University ,2015,2016,0,3.5,,0,316,,6,3,948.00,6.329113924,2.843380316,14.08804965,formula,different databases,316,64.7,,,,,,,,,,,,,17.7,,,,31.9,,69.9,,21,,32,,,,,,,,,,16.5,,,,,,,,,,,,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,,,,100,,,,,100,,,,
Wildiers ,2018,multinational,multinational,29433963,EORTC 75111-10114,2013,2016,0,3,,1,80,,4,1.73,138.40,28.9017341,10.84714159,77.00740584,formula,different database,80,76.8,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,0,,,,,,0,,,,,,,,,,,,0,0,0,0,100,,,,,,,,,100,,68.5,,,,,,,,,,,,,51.9,,,,,,,,,,,,,100,100,,,,,,
Pagani,2004,multinational,multinational,15550579,"International Breast Cancer Study Group",1993,2000,0,7,,0,1035,,6,5.5,5692.50,1.054018445,0.4735220975,2.346152142,formula,different database,1035,,,,,0,,100,all patients are post- and perimenopausal patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,12,46,42,,73,,,,100,,0,100,,,,0,,,,,,100,55,45,,,,,,100,,,86.1,86.1,,,"81%
received prior adjuvant chemotherapy",,,,,
Nowsheen ,2018,USA,Minnesota ,30371238, Mayo Clinic ,2000,2015,0,15,,0,428,,22,6.84,2927.52,7.514893152,4.948148178,11.41308163,formula,unique database,428,52.9,,,,0,,56.2,,,,,,,14,,,,7.9,,27.1,,12.9,,67.8,,21.3,,,,,,1.6,,,,,,,,0.7,,,,,,,,39.5,,0,24.5,39,25.9,10.6,,,,,,,,,100,,,,63.6,36.4,,,,,,,,,,,,,,,,,,,,,,73.4,100,100,,70.8,,,,
Testore ,2008,Italy,"Asti, single-center",18690759, Ospedale Cardinal Massaia,1993,2003,0,5,,1,318,,5,2.92,928.56,5.384681658,2.241218173,12.93707007,formula,different database,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
von Minckwitz,2014,multinational,multinational,25273342,TANIA trial,2011,2013,0,2,,0,494,,6,1.33,644.06,9.315931174,4.185220182,20.73644154,formula,different database,494,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21.5,78,,,,,,,,,,,,,,,,,,,100,,,,,100,24.5,50,,,,,,,
Vazdar ,2014,Croatia,single center,,University Hospital Center Sestre milosrdnice,2007,2008,0,,,0,140,,6,1.83,256.20,23.41920375,10.52117307,52.129083,formula,different database,140,58,,,SAMPLE CHARACTERISTICS WERE NOT ADEQUATELY REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,,,,,,
Sund,2021,Sweden ,nationwide,34265496,BCDaSe,2006,2012,0,7,,0,15815,,74,3.9,61220.00,1.208755309,0.9624682386,1.518065052,formula,Sweden registry with the largest PY FU,15815,66,,,(34–101),0,,100,,,,,,,,,,,7.9,,60.2,,,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,0,47.9,36.3,11,0,,,,,,,85.2,68.7,10.3,,,,64.6,31.2,,52,48,0,,,,,,100,40.7,59.3,,,,30.2,2.6,,,,30.2,24.2,7.5,7.5,,70.3,,,,
Paterson,2022,Canada,Alberta,35492824,Alberta Health Registry,2007,2018,0,11,,0,29407,,1403,11.8,347002.60,4.043197371,3.837068405,4.260399674,formula,different database,29407,,,,SAMPLE CHARACTERISTICS WERE NOT REPORTED FOR BC PATIENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,34.6,29.3,9.4,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reding,2022,USA,40 centers,35492810,Women Health Initiative,1994,2019,0,24,,1,2272,,138,7.2,16358.40,8.436032864,7.139665155,9.967785454,formula,nationwide US cohort,2272,,,,,0,,100,,64.9,10.3,28.6,1.2,,,,,,,,75.6,,48.6,,66.5,,26.7,,,,3.3,,0,,,,,,,,,,,,,,,,49.5,,,,,,,,"local - 72.6,",,,,,,,,,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,